trial,raw_file,frequency_hz,symbol_rate_hz,symbol_rate_source,decode_rate_hz,decode_rate_error_fraction,capture_events,loaded_events,capture_duration_s,duration_s,total_events,events_per_s,bin_us,analysis_start_s,analysis_end_s,trim_start_s,trim_end_s,expected_transmit_duration_s,active_window_source,roi_source,roi_x0,roi_y0,roi_x1,roi_y1,decode_mode,decode_rule,reliability_label,phase_s,init_bit,threshold,message_offset_bits,n_symbols_total,n_symbols_scored,n_messages_available,expected_message_count,n_messages,n_correct_messages,mar,n_bit_errors,ber
s31_replication_redo_500Hz_t1.raw,s31_replication_redo_500Hz_t1.raw.raw,500.0,502.2586638199059,calibration_autocorr_preferred,502.2586638199059,0.0,46210518,20967909,5.999617,2.8960000000000004,20954021,7235504.488950276,10.0,2.1999999999999997,5.096,0.0,0.0,2.896,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,activity,standard_analysis,0.0015928047789472374,0,14425.02081746564,19,1453,1408,131,128,128,0,0.0,612,0.4346590909090909
s31_replication_redo_500Hz_t2.raw,s31_replication_redo_500Hz_t2.raw.raw,500.0,502.18189816987723,calibration_autocorr_preferred,502.18189816987723,0.0,46243069,20986200,8.587681,2.896,20963591,7238809.046961326,10.0,4.2,7.096,0.0,0.0,2.896,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,activity,standard_analysis,0.0014337434356433924,0,14431.627043853567,19,1453,1408,131,128,128,0,0.0,616,0.4375
s31_replication_redo_1000Hz_t1.raw,s31_replication_redo_1000Hz_t1.raw.raw,1000.0,1008.8346655448042,calibration_peak_preferred,1008.8346655448042,0.0,38964675,17185662,4.7753749999999995,1.448,17170138,11857830.110497238,10.0,2.15,3.598,0.0,0.0,1.448,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,activity,standard_analysis,0.00011894912427022519,0,11759.826027397261,0,1460,1408,132,128,128,5,0.0390625,689,0.4893465909090909
s31_replication_redo_1000Hz_t2.raw,s31_replication_redo_1000Hz_t2.raw.raw,1000.0,1008.8346655448042,calibration_peak_preferred,1008.8346655448042,0.0,38970957,17194971,5.679879,1.4479999999999995,17176325,11862102.90055249,10.0,2.8,4.247999999999999,0.0,0.0,1.448,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,activity,standard_analysis,0.00023789824854045038,0,11764.593835616437,50,1460,1408,132,128,128,5,0.0390625,700,0.4971590909090909
s31_replication_redo_1500Hz_t1.raw,s31_replication_redo_1500Hz_t1.raw.raw,1500.0,1513.7709670739287,calibration_fft_disagreement_fallback,1513.7709670739287,0.0,30258276,13298923,4.423308,0.9658159999999998,13282216,13752325.494711211,10.0,2.15,3.1158159999999997,0.0,0.0,0.965816,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,activity,standard_analysis,0.0005020574555403555,0,9093.546791784569,7,1461,1408,132,128,128,30,0.234375,355,0.2521306818181818
s31_replication_redo_1500Hz_t2.raw,s31_replication_redo_1500Hz_t2.raw.raw,1500.0,1513.7709670739287,calibration_fft_disagreement_fallback,1513.7709670739287,0.0,30266701,13302035,4.323805,0.9658159999999998,13264556,13734040.438344367,10.0,2.1999999999999997,3.1658159999999995,0.0,0.0,0.965816,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,activity,standard_analysis,0.0004492093023255813,0,9080.57107733823,10,1461,1408,131,128,128,35,0.2734375,332,0.23579545454545456
s31_replication_redo_2000Hz_t1.raw,s31_replication_redo_2000Hz_t1.raw.raw,2000.0,2019.6159690564996,calibration_fft_disagreement_fallback,2019.6159690564996,0.0,24134070,10580244,4.059953999999999,0.7240000000000002,10564974,14592505.524861874,10.0,2.05,2.774,0.0,0.0,0.724,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,activity,standard_analysis,0.0001188344733242134,0,7233.134613871034,1,1461,1408,132,128,128,38,0.296875,345,0.2450284090909091
s31_replication_redo_2000Hz_t2.raw,s31_replication_redo_2000Hz_t2.raw.raw,2000.0,2019.3370165745857,calibration_fft_disagreement_fallback,2019.3370165745857,0.0,24162289,10588893,4.199649,0.7239999999999998,10567054,14595378.45303868,10.0,2.35,3.074,0.0,0.0,0.724,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,activity,standard_analysis,0.00031693570451436385,0,7234.183646908907,51,1461,1408,132,128,128,32,0.25,373,0.2649147727272727
s31_replication_redo_2500Hz_t1.raw,s31_replication_redo_2500Hz_t1.raw.raw,2500.0,2524.1712707182323,calibration_fft_disagreement_fallback,2524.1712707182323,0.0,19715992,8670584,3.487621,0.5791999999999997,8334928,14390414.364640892,10.0,2.1,2.6792,0.0,0.0,0.5791999999999999,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,activity,standard_analysis,0.00022185499316005472,0,5704.211856529805,48,1461,1408,132,128,128,24,0.1875,374,0.265625
s31_replication_redo_2500Hz_t2.raw,s31_replication_redo_2500Hz_t2.raw.raw,2500.0,2500.0,manifest_actual,2500.0,0.0,19706699,8667023,3.8156969999999997,0.5791999999999997,8259934,14260935.77348067,10.0,2.15,2.7291999999999996,0.0,0.0,0.5791999999999999,calibration_summary_manifest_cap,calibration_summary,544,320,672,448,activity,activity,standard_analysis,0.00015999999999999999,0,5719.961263731016,38,1447,1408,131,128,128,6,0.046875,655,0.46519886363636365
